file_name,gt_lines,ocr_lines,matched_lines,mean_cer,mean_wer,mean_char_acc,mean_word_acc
0232.jpg,12,10,8,0.41253306878306883,0.6666666666666666,0.591765873015873,0.4166666666666667
0233.jpg,8,10,7,0.12837837837837837,0.15625,0.8713235294117647,0.84375
0234.jpg,4,7,4,0.016666666666666666,0.0625,0.9814814814814815,0.9375
0235.jpg,8,8,4,0.5357142857142857,0.5833333333333333,0.46710526315789475,0.375
0236.jpg,5,4,3,0.4,0.4,0.6,0.6
0237.jpg,8,8,7,0.14417613636363635,0.20833333333333334,0.8593137254901961,0.7083333333333333
0238.jpg,13,16,4,0.775402537965467,0.9948717948717949,0.23106795165618696,0.0
0239.jpg,11,1,0,1.0,1.0,0.0,0.0
0240.jpg,10,10,10,0.014344827586206896,0.11666666666666665,0.9958333333333332,0.8166666666666668
0241.jpg,17,38,1,0.9424552429667519,0.9529411764705882,0.05742296918767507,0.047058823529411764
0242.jpg,9,9,3,0.7468409586056644,0.9444444444444444,0.27354497354497354,0.0
